@relation allSongsAllFieldsRankClassWithDate

@attribute IS_EXPLICIT {TRUE, FALSE}
@attribute WEEK date "yyyy-MM-dd"
@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
TRUE,"2005-10-01",399,165,8,3,41-50
TRUE,"2013-10-12",891,357,13,3,11-20
FALSE,"2002-12-21",18,18,14,5,41-50
FALSE,"1998-04-04",398,88,11,3,1-10
FALSE,"1983-06-04",197,62,9,4,31-40
FALSE,"1990-03-31",205,84,29,3,11-20
TRUE,"1998-02-21",627,240,10,3,21-30
TRUE,"1999-04-03",430,157,12,4,1-10
FALSE,"1980-07-26",111,56,8,3,11-20
FALSE,"1983-11-12",327,103,10,4,1-10
FALSE,"1980-07-05",254,110,9,3,41-50
FALSE,"2014-05-17",341,104,13,3,1-10
FALSE,"2011-05-14",610,163,16,4,11-20
FALSE,"1984-09-01",308,112,11,3,11-20
FALSE,"1990-02-24",401,128,11,3,1-10
FALSE,"2001-07-28",392,118,12,3,1-10
TRUE,"1982-02-20",168,83,10,3,21-30
FALSE,"1980-09-13",371,102,9,3,1-10
FALSE,"1980-10-04",226,91,10,4,11-20
FALSE,"1983-03-05",365,88,9,3,11-20
FALSE,"1989-02-18",215,73,13,3,21-30
FALSE,"1985-05-04",323,112,10,3,1-10
FALSE,"1999-08-14",432,153,11,3,1-10
FALSE,"2008-09-06",367,136,10,4,11-20
FALSE,"2008-09-13",367,136,10,4,21-30
FALSE,"2008-10-11",367,136,10,4,21-30
FALSE,"1990-05-05",275,109,10,3,41-50
FALSE,"1999-09-04",464,103,11,3,41-50
FALSE,"2013-11-02",241,121,11,3,21-30
FALSE,"1993-11-06",234,73,9,4,1-10
TRUE,"2009-03-21",555,202,11,4,31-40
FALSE,"1986-08-16",255,84,13,3,11-20
FALSE,"1991-02-23",211,63,7,3,1-10
FALSE,"1998-11-07",602,144,14,3,21-30
FALSE,"2010-04-10",430,116,9,4,11-20
FALSE,"2000-02-19",146,61,13,3,1-10
TRUE,"1996-03-30",527,158,9,3,11-20
FALSE,"1986-05-31",322,129,12,4,21-30
TRUE,"2003-03-15",506,113,9,4,11-20
FALSE,"2010-03-20",630,173,11,3,41-50
FALSE,"1983-07-09",394,101,10,3,11-20
FALSE,"1991-03-16",18,18,14,5,1-10
FALSE,"1989-02-11",188,84,12,4,1-10
FALSE,"1983-01-15",278,125,10,3,41-50
FALSE,"1981-07-04",220,102,9,3,1-10
FALSE,"1984-12-08",246,75,9,4,1-10
FALSE,"1983-08-27",182,89,11,3,31-40
FALSE,"1991-04-13",431,101,12,3,41-50
FALSE,"2002-05-25",295,76,10,3,1-10
FALSE,"2011-11-26",209,73,9,3,31-40
FALSE,"2008-03-22",249,122,13,4,21-30
FALSE,"1983-02-05",210,120,12,4,11-20
FALSE,"1983-12-03",175,93,11,4,41-50
TRUE,"2005-04-16",315,122,10,3,41-50
FALSE,"1999-06-19",274,112,10,4,11-20
FALSE,"1990-03-10",210,105,9,3,41-50
FALSE,"1984-03-10",143,94,9,4,21-30
FALSE,"1984-07-14",142,97,11,4,1-10
FALSE,"1997-06-14",418,144,11,3,21-30
FALSE,"1987-07-11",180,76,9,3,1-10
FALSE,"2012-04-07",144,73,9,3,41-50
FALSE,"1985-04-20",272,73,10,4,11-20
TRUE,"1988-06-25",425,167,12,4,1-10
FALSE,"2009-12-19",324,98,9,4,11-20
FALSE,"2008-12-20",304,125,12,3,41-50
FALSE,"2009-07-25",309,102,12,3,21-30
FALSE,"1990-06-02",285,81,18,4,1-10
TRUE,"1993-07-31",503,231,12,3,31-40
TRUE,"1993-08-28",503,231,12,3,11-20
FALSE,"1987-06-13",242,84,8,3,1-10
FALSE,"1994-12-10",286,133,10,3,1-10
FALSE,"1994-08-06",250,48,8,3,11-20
FALSE,"1990-06-09",187,75,9,3,31-40
FALSE,"1996-05-04",510,98,14,3,1-10
TRUE,"1994-08-13",579,112,9,3,11-20
FALSE,"1988-05-21",238,61,10,3,1-10
FALSE,"1982-06-12",162,64,9,3,1-10
FALSE,"2002-02-23",289,22,7,3,1-10
FALSE,"2006-03-25",305,116,11,3,31-40
FALSE,"1983-06-11",222,70,9,3,1-10
FALSE,"1992-10-17",288,98,10,3,21-30
FALSE,"1998-02-21",231,92,9,3,31-40
TRUE,"2011-08-13",235,122,11,3,31-40
FALSE,"1992-10-24",342,84,10,3,41-50
FALSE,"2014-07-05",381,97,11,3,1-10
FALSE,"1986-11-08",268,102,10,3,1-10
FALSE,"2000-03-04",250,87,9,3,1-10
FALSE,"1994-01-22",18,18,14,5,21-30
FALSE,"1981-06-13",18,18,14,5,1-10
FALSE,"1985-11-02",187,94,11,4,41-50
FALSE,"2005-05-21",212,82,9,4,11-20
FALSE,"2008-09-27",393,147,10,3,1-10
FALSE,"2002-10-19",175,102,11,4,41-50
FALSE,"1982-11-20",221,74,12,5,11-20
FALSE,"2010-05-08",215,93,10,4,21-30
FALSE,"2014-08-02",188,140,10,4,21-30
FALSE,"2003-04-26",420,103,11,3,31-40
FALSE,"1982-08-28",185,87,9,4,11-20
FALSE,"2000-03-04",385,165,9,3,21-30
TRUE,"2009-10-24",260,134,10,4,31-40
FALSE,"2004-02-28",286,135,14,4,21-30
TRUE,"1986-05-03",291,125,10,4,11-20
FALSE,"1999-10-30",270,80,9,4,41-50
FALSE,"2014-07-19",326,158,9,3,11-20
FALSE,"1980-03-01",239,101,10,4,11-20
FALSE,"1984-02-25",384,176,12,3,1-10
TRUE,"2014-09-06",627,181,30,3,1-10
FALSE,"1982-08-28",289,87,9,3,21-30
FALSE,"1994-04-23",331,105,10,4,21-30
FALSE,"1990-12-01",187,92,9,3,31-40
FALSE,"1980-04-12",177,87,11,4,11-20
FALSE,"1985-10-26",296,99,9,3,21-30
FALSE,"1988-04-30",18,18,14,5,1-10
FALSE,"2003-05-03",379,109,9,3,11-20
FALSE,"1993-04-24",177,66,7,3,11-20
FALSE,"1985-06-29",262,77,11,3,1-10
FALSE,"1999-03-06",227,107,11,4,1-10
FALSE,"2001-03-31",440,120,13,4,1-10
FALSE,"1992-01-11",178,79,10,3,21-30
FALSE,"2012-08-18",277,87,10,4,31-40
FALSE,"1989-09-02",227,106,9,3,1-10
FALSE,"1982-07-03",202,112,10,3,31-40
FALSE,"1989-02-11",219,106,11,4,11-20
FALSE,"1999-02-13",340,112,9,3,1-10
FALSE,"1981-05-02",214,82,9,3,1-10
FALSE,"1980-06-21",248,87,20,3,31-40
FALSE,"1989-12-02",201,96,10,3,1-10
FALSE,"2001-09-15",327,127,10,3,31-40
TRUE,"1987-12-26",289,87,10,3,11-20
FALSE,"2010-11-13",312,87,11,3,11-20
FALSE,"1985-06-22",277,106,10,4,41-50
FALSE,"2014-11-22",307,103,21,4,1-10
TRUE,"2014-04-26",8,4,7,5,21-30
FALSE,"1993-10-23",290,94,23,4,1-10
