Song,Actual,TF-IDF,TF-IDF Error,Custom,Custom Err, ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
(Kissed You) Good Night,2012,1998,14,1980,32, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.337220459,0,8.089817589,32.86145878,61.97994601,17.35078126,36.12690738,32.85936594,8.44443726,0,1.713838797,0,0,0,0,0,0,0,0,0,0,0
(There's Gotta Be) More To Life,2003,1998,5,1980,23, ,0,0,0,0,0,0,0,0,0,0,0,0,0,9.178184422,0,2.617118607,10.40033904,23.10425464,35.16950081,32.52898819,22.44131035,6.660717407,5.034549944,0,4.437737242,7.470936133,0,0,0,0,0,0,0,0,0,0
(When You Gonna) Give It Up To Me,2006,1998,8,2004,2, ,0,0,0,0,0,0,7.470936133,0,0,0,0,0,13.44049544,26.396057,7.470936133,9.269672706,28.39461876,37.44306233,104.673993,46.59559954,47.81726268,15.6453248,31.03978641,26.41615582,7.758475847,7.065755682,0,0,7.470936133,15.4117335,0,0,8.163798576,0,0,0
(You Drive Me) Crazy,1999,1998,1,1980,19, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.278256373,2.969199152,17.15414043,31.32648898,62.81893639,17.75042967,3.163294914,4.85713087,7.065755682,0,0,0,0,0,0,0,0,0,0,0,0,0
(You Want To) Make A Memory,2007,1998,9,1980,27, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.065755682,4.912796278,17.85139376,33.97673236,63.99106561,42.44000177,33.43463963,14.1909372,6.373461987,4.347890798,8.176671538,0,0,0,0,0,0,0,0,0,0,0
*** Flawless,2014,1998,16,2002,12, ,0,8.856803357,0,0,0,0,0,0,0,0,0,0,0,0,46.75939018,20.80720593,58.67416011,43.56499515,103.5931033,93.11794079,43.52316264,67.29561933,58.86309114,25.68470705,30.7814611,19.8013198,15.82035512,13.20530876,7.758475847,0,7.24793492,8.856803357,0,0,0,0
... Baby One More Time,1999,1998,1,1980,19, ,0,0,0,0,0,0,0,0,0,0,0,0,5.101566627,5.14891151,0,2.617118607,8.990951311,24.72971699,50.87248738,18.68483972,10.8327015,4.787491743,5.852998572,4.691489016,0,0,0,0,0,0,0,0,0,0,0,0
0 To 100/The Catch Up,2014,1998,16,2013,1, ,0,0,0,0,0,0,8.856803357,0,0,0,0,0,6.9117473,5.968849636,20.40854941,22.05630069,54.38537294,86.19932683,200.95364,128.1683652,142.754377,84.80173302,85.43435321,55.32720307,42.79737568,40.07248101,43.91683319,20.58514762,11.06425526,17.71360671,12.11221447,15.92255904,7.24793492,16.32773949,17.71360671,0
1 Thing,2005,1998,7,1996,9, ,0,0,0,0,0,0,7.758475847,0,0,0,0,0,0,0,7.659775044,0,36.19734714,42.20923097,56.1841582,31.25364166,17.56038084,23.23535549,13.38370806,14.94523968,4.437737242,0,0,0,0,0,0,0,0,0,0,0
1 2 Step,2005,1999,6,2005,0, ,0,8.856803357,0,0,0,0,0,0,0,0,0,0,4.337220459,0,8.856803357,0,9.292945006,33.90432814,77.14205221,83.53331893,61.35854319,29.53429234,31.79494766,35.96465855,14.7192977,26.24905419,15.48627892,7.065755682,14.67022315,0,7.758475847,0,0,0,0,0
1234,2007,1998,9,1991,16, ,8.856803357,0,0,0,0,0,0,0,0,0,0,8.163798576,5.034549944,0,5.863773211,20.29410717,16.0871733,21.94065231,51.4099639,10.83813816,8.017341567,31.95286668,14.89295929,4.804444923,0,6.025865974,0,0,0,0,0,0,0,0,0,0
1234,2009,1998,11,1980,29, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.873358185,12.29849837,13.97212246,18.69335661,36.92615,19.46553287,16.00985437,18.92826451,7.696629524,6.555499129,0,0,0,0,0,0,0,0,0,0,0,0
100 Years,2004,1998,6,1999,5, ,0,0,0,0,0,0,0,0,0,0,0,0,4.498402211,0,9.275781614,11.77682951,14.28207819,42.50414309,64.53712194,46.11154099,21.95773528,10.10410236,32.28751176,0,5.124955551,0,0,13.97807149,0,0,6.0863485,0,0,0,0,0
