@relation lyrics383.small

@attribute song string
@attribute numWords numeric
@attribute distinctWRatio numeric
@attribute word_1 string
@attribute word_2 string
@attribute word_3 string
@attribute word_4 string
@attribute word_5 string
@attribute word_6 string
@attribute word_7 string
@attribute word_8 string
@attribute word_9 string
@attribute word_10 string
@attribute phrase2_1 string
@attribute phrase2_2 string
@attribute phrase2_3 string
@attribute phrase2_4 string
@attribute phrase2_5 string
@attribute phrase2_6 string
@attribute phrase2_7 string
@attribute phrase2_8 string
@attribute phrase2_9 string
@attribute phrase2_10 string
@attribute phrase3_1 string
@attribute phrase3_2 string
@attribute phrase3_3 string
@attribute phrase3_4 string
@attribute phrase3_5 string
@attribute phrase3_6 string
@attribute phrase3_7 string
@attribute phrase3_8 string
@attribute phrase3_9 string
@attribute phrase3_10 string
@attribute pos_verb numeric
@attribute pos_conj numeric
@attribute pos_adj numeric
@attribute pos_pronoun numeric
@attribute pos_number numeric
@attribute pos_noun numeric
@attribute pos_to numeric
@attribute pos_prep numeric
@attribute pos_adv numeric
@attribute pos_interj numeric
@attribute pos_other numeric
@attribute pos_foreign numeric
@attribute pos_wh numeric
@attribute narcScore numeric
@attribute period {early1980s,mid1980s,late1980s,early1990s,mid1990s,late1990s,early2000s,mid2000s,late2000s,early2010s,mid2010s}
@attribute rank {top10,top20,top30,top40,top50,notTop}

@data
"(She's) Sexy + 17",323.0,0.4613003095975232,"","and","little","mind","i","a","the","me","well","to","mind","mind","a little","my little","well she's","sexy and","and seventeen","goin to","to school","dig that","mind  mind","sexy and seventeen","goin to school","dig that sound","shake it around","it around your","around your mind","your mind","mind","walk to the",45,15,26,39,4,84,6,28,20,5,45,2,4,2.2564102564102564,early1980s,top10
"(She's) Some Kind Of Wonderful",222.0,0.44144144144144143,"i","a","my","she's","me","she","don't","baby","'a","got","my baby","i don't","she's some","some kind","kind 'a","'a wonderful","a sweet","out of","i got","right my","she's some kind","some kind 'a","kind 'a wonderful","right my baby","can i get","i get a","get a witness","my baby she's","baby she's all","she's all right",42,3,15,41,1,48,4,21,17,0,26,0,4,5.073170731707317,mid1990s,top50
"(Sittin' On) The Dock Of The Bay",169.0,0.4378698224852071,"the","sittin","dock","bay","on","of","i","roll","my","i'm","on the","the dock","dock of","of the","the bay","sittin on","watchin the","roll away","bay watchin","the tide","on the dock","the dock of","dock of the","of the bay","sittin on the","the bay watchin","bay watchin the","watchin the tide","the tide roll","tide roll away",24,1,2,12,3,57,3,24,14,0,27,0,2,3.0,late1980s,top20
"(There's Gotta Be) More To Life",286.0,0.26573426573426573,"more","to","life","i'm","there's","be","gotta","the","i","than","more to","to life","be more","there's gotta","gotta be","life than","than chasing","chasing down","down every","every temporary","more to life","be more to","there's gotta be","gotta be more","to life than","life than chasing","than chasing down","chasing down every","down every temporary","every temporary high",56,8,36,16,0,54,19,27,16,4,47,0,3,1.5625,early2000s,top30
"(What) In The Name Of Love",336.0,0.20833333333333334,"the","love","in","name","of","what","are","we","doing?","you","in the","the name","name of","of love","are we","we doing?","what in","love are","love in","doing? in","in the name","the name of","name of love","are we doing?","what in the","of love are","love are we","of love in","love in the","we doing? in",73,4,3,47,0,66,4,64,6,0,41,0,28,-15.574468085106382,mid1980s,top40
"(When You Gonna) Give It Up To Me",809.0,0.19777503090234858,"you","it","up","me","a","when","give","gonna","to","me?","it up","when you","gonna give","you gonna","give it","up to","to me?","you know","up yeah","see you","when you gonna","you gonna give","gonna give it","give it up","it up to","up to me?","from you look","you look inna","look inna me","inna me eye",183,14,20,185,3,112,19,64,54,4,120,0,31,26.756756756756754,mid2000s,top10
"(You Drive Me) Crazy",249.0,0.30120481927710846,"you","me","i'm","crazy","baby","so","i","drive","night","in","you drive","drive me","me crazy","i'm so","baby thinkin","thinkin of","of you","you keeps","keeps me","me up","you drive me","drive me crazy","baby thinkin of","thinkin of you","of you keeps","you keeps me","keeps me up","me up all","up all night","it feels alright",39,6,18,50,1,47,5,28,25,2,27,0,1,9.280000000000001,late1990s,top10
"(You Gotta) Fight For Your Right (To Party)",255.0,0.3411764705882353,"you","your","a","mom","and","no","that","for","said","two","your mom","you gotta","gotta fight","fight for","for your","your right","right to","to party","party you","you pop","you gotta fight","gotta fight for","fight for your","for your right","your right to","right to party","to party you","party you pop","you pop caught","pop caught you",50,8,8,40,5,72,4,30,13,0,25,0,0,0.25,late1980s,top10
"(You Want To) Make A Memory",220.0,0.44545454545454544,"you","a","wanna","to","if","make","memory","don't","i","your","if you","you wanna","make a","a memory","wanna make","you don't","should be","we should","memory you","you should","make a memory","you wanna make","wanna make a","if you don't","we should be","a memory you","memory you wanna","if you should","you should stay","you don't say",55,4,3,40,0,37,7,22,17,1,33,0,1,-1.525,late2000s,top30
"(You're My One And Only) True Love",235.0,0.4595744680851064,"my","and","you","love","one","only","ooh-oh","true","the","a","and only","my one","one and","true love","ooh-oh ooh-oh","you're my","only my","only true","my love","into my","my one and","one and only","ooh-oh ooh-oh ooh-oh","and only my","only my one","and only true","you're my one","all the joy","only true love","true love true",29,13,16,36,9,52,5,24,20,1,25,0,5,8.555555555555557,late1980s,top30
"(You're So Square) Baby, I Don't Care",174.0,0.39080459770114945,"i","you're","so","square","don't","you","and","to","know","baby","you're so","so square","i don't","square you're","baby i","don't care","you don't","square baby","don't know","don't like","you're so square","so square you're","square you're so","i don't care","so square baby","you don't like","don't care you","care you don't","square baby i","baby i don't",36,6,18,34,0,26,5,10,28,0,6,0,5,0.7941176470588234,early1980s,top50
"*** Flawless",449.0,0.45657015590200445,"i","down","to","the","my","flawless","","we","this","bitches","down bitches","bow down","god damn","i woke","woke up","up like","like this","coming down","bitches crown","i am","bow down bitches","i woke up","woke up like","up like this","we teach girls","down bitches crown","god damn god","get it twisted","i’m coming down","coming down dripping",83,11,37,54,3,128,12,48,20,0,48,0,5,2.518518518518518,mid2010s,top50
"... Baby One More Time",277.0,0.26353790613718414,"i","baby","me","you","oh","my","to","is","now","know","oh baby","baby baby","me baby","i must","must confess","i still","give me","me a","a sign","sign hit","oh baby baby","i must confess","give me a","me a sign","a sign hit","sign hit me","hit me baby","me baby one","baby one more","one more time",70,3,6,72,5,46,6,10,19,11,22,0,7,13.88888888888889,late1990s,top10
"0 To 100/The Catch Up",885.0,0.38531073446327685,"the","i","to","that","real","shit","nigga","on","it","i'm","real quick","with the","quick real","on that","to 100","100 nigga","nigga real","for it","0 to","whole squad","real quick real","to 100 nigga","100 nigga real","nigga real quick","0 to 100","whole squad on","squad on that","on that real","that real shit","quick real quick",145,19,69,115,19,211,23,102,53,3,105,0,21,3.7391304347826084,mid2010s,top40
