SONG,YEAR,VERBS,CONJUNCTION,ADJECTIVE,PRONOUN,NUMBER,NOUN,TO,PREPOSITION,ADVERB,INTERJECTION,OTHER,FOREIGN,INTERROGATIVE,SIMPLE NARC,COMPLEX NARC,,,
Ain't Nothing 'Bout You,2001,64,7,6,70,0,70,1,31,10,0,62,0,4,13,5.014285714,,,
Ain't Nuthin' But A She Thing,1995,106,38,45,110,0,168,16,78,59,2,106,0,10,14,3.436363636,,,
Ain't Worth The Whiskey,2015,44,9,21,36,4,58,14,31,10,0,33,0,3,4,1.555555556,,,
Air Force Ones,2003,118,38,61,157,24,245,12,98,48,1,93,0,10,33,13.03184713,,,
Airplanes,2010,78,22,6,50,1,125,11,49,67,0,84,0,10,-4,-6.08,,,
Alcohol,2005,51,14,15,38,1,80,2,33,13,0,30,0,0,3,1.184210526,,,
Alejandro,2010,71,9,9,51,4,137,2,24,37,0,18,0,1,20,10.19607843,,,
Alibis,1984,68,16,18,72,0,30,4,20,42,0,28,0,10,8,4,,,
Alien,1981,25,3,9,18,0,43,0,17,17,0,25,0,1,-2,-3.777777778,,,
Alive,2013,41,1,13,21,0,50,1,15,19,0,17,0,8,9,4.285714286,,,
Alive,2002,59,0,30,69,0,23,2,46,38,0,36,0,3,9,2.347826087,,,
Alive And Kicking,1985,74,16,16,43,0,56,5,39,9,1,32,0,19,7,3.906976744,,,
All 4 Love,1992,93,7,14,122,6,62,15,28,28,3,40,0,8,5,2.131147541,,,
All About Soul,1993,58,14,13,38,1,55,8,41,20,0,38,0,9,11,3.473684211,,,
All About That Bass,2014,70,6,15,44,1,109,6,89,18,0,82,0,0,4,1.636363636,,,
All About Tonight,2010,44,12,13,25,0,77,6,34,30,0,45,0,1,1,0.52,,,
All Around Me,2008,55,5,9,56,0,31,7,31,7,0,23,0,4,10,5.714285714,,,
All Around The World,2012,47,3,17,33,0,54,3,29,26,0,38,0,5,-3,-4.818181818,,,
All Around The World,1990,105,28,13,87,2,85,1,19,50,0,33,0,26,18,3.724137931,,,
All Bad,2013,39,3,14,38,1,39,7,24,6,0,16,0,2,3,1.342105263,,,
All By Myself,1997,33,3,7,20,0,25,1,16,20,2,13,0,3,12,7.2,,,
