Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev.
broke,1998,2011,2002,87,4.824506406770077
brazil,1989,1990,1989,16,0.3535533905932738
new,1982,2012,1998,312,7.574840270804733
sweatin,2007,2007,2007,17,0.0
shorty,2003,2003,2003,22,0.0
magical,1987,2013,2000,33,12.771891485649732
guess,1982,2011,1996,76,10.410015420383948
shorts,1995,1995,1995,11,0.0
having,1996,2009,1997,10,3.9115214431215892
quitsing,1991,1992,1991,18,0.816496580927726
merrier,2009,2010,2009,17,0.6416889479197478
tastes,1989,1989,1989,11,0.0
majid,2014,2014,2014,10,0.0
mover,2011,2011,2011,21,0.0
change,1984,2003,1994,61,5.213475603553973
moves,1991,2000,1994,26,3.5895146447138764
birkin,2002,2003,2002,22,0.7687061147858074
drivebys,1996,1996,1996,9,0.0
rope,1987,1987,1987,14,0.0
noel,2014,2014,2014,10,0.0
kicked,1993,1994,1993,11,0.5222329678670935
scrpits,1993,1994,1993,11,0.5222329678670935
couldve,2002,2010,2004,31,3.468754540828182
lilac,1997,1998,1997,20,0.5477225575051661
watch,1984,2014,1997,140,7.44215790518545
fat,1993,2003,1998,42,4.456135417280635
luck,1987,2006,1997,32,9.4505290857179
wheels,1996,2010,2000,29,6.486059321131852
yesterday,1990,1990,1990,16,0.0
far,1980,1986,1982,30,2.5298221281347035
display,1991,1991,1991,18,0.0
ghetto,2012,2012,2012,8,0.0
lean,1993,1994,1993,11,0.5222329678670935
often,1985,1986,1985,19,0.6882472016116853
active,2014,2014,2014,18,0.0
make,1980,2014,1998,423,9.959136366328185
misunderstood,2011,2011,2011,21,0.0
room,1986,2011,2001,42,7.042388664028569
sweater,1991,1992,1991,18,0.816496580927726
nan,1999,2000,1999,8,0.6123724356957945
whispers,1986,1986,1986,9,0.0
texas,2000,2000,2000,29,0.0
tried,1982,1995,1990,56,5.010702830655881
through,1982,2012,1997,246,8.850612031567836
nah,1993,1994,1993,11,0.5222329678670935
lavish,2014,2014,2014,10,0.0
luda,2011,2011,2011,21,0.0
shouldnt,1985,1999,1996,40,5.5362442142665635
trained,1991,1992,1991,18,0.816496580927726
keeps,1999,2010,2003,22,5.431390245600108
population,1996,1996,1996,9,0.0
mail,1995,1995,1995,11,0.0
theyre,1987,2014,1995,59,9.369984534111651
sleazy,1982,1982,1982,2,0.0
layer,1999,2000,1999,8,0.6123724356957945
trife,2000,2000,2000,29,0.0
watchin,1988,2014,1990,13,6.928203230275509
main,2000,2000,2000,29,0.0
obscene,1983,1983,1983,13,0.0
expected,2014,2014,2014,1,0.0
rome,1989,1990,1989,16,0.3535533905932738
nenene,1985,1985,1985,10,0.0
freeze,1991,1994,1992,29,0.9468641529479986
inside,1988,2009,1999,129,5.879276441269641
circus,2000,2000,2000,29,0.0
impressed,1989,1990,1989,16,0.3535533905932738
swallowing,2009,2009,2009,1,0.0
daisy,2002,2003,2002,17,0.9074852129730301
saigon,1985,1985,1985,10,0.0
glow,2011,2011,2011,21,0.0
honey,1989,2011,2000,66,8.197375781124695
hallucinogens,2009,2009,2009,1,0.0
social,2014,2014,2014,1,0.0
wakin,1995,1995,1995,11,0.0
empty,1984,2011,1999,80,7.881148393476677
hangover,2009,2009,2009,16,0.0
hill,1989,1990,1989,16,0.3535533905932738
humpin,2002,2003,2002,22,0.7687061147858074
mislaid,1983,1983,1983,15,0.0
beemer,2000,2000,2000,29,0.0
hassle,1993,1994,1993,11,0.5222329678670935
silence,1997,2011,2007,28,6.082762530298219
oxygen,2011,2011,2011,1,0.0
broad,1993,1994,1993,11,0.5222329678670935
johnny,1983,1983,1983,13,0.0
build,1986,1986,1986,9,0.0
distance,1984,1993,1991,26,3.508232077228117
riding,1993,2012,2002,41,6.366834799635818
built,1993,2009,2002,27,7.755523718495621
crowded,2012,2013,2012,16,0.9682458365518543
movin,1999,2014,2005,23,7.454208032467591
water,2009,2012,2011,15,1.0954451150103321
faith,1996,2009,2001,36,6.506407098647712
movie,1982,1982,1982,2,0.0
puffs,2000,2000,2000,29,0.0
rookie,2014,2014,2014,10,0.0
sending,2011,2012,2011,16,0.5590169943749475
boyfriend,2002,2003,2002,22,0.7687061147858074
thinks,1990,1990,1990,16,0.0
club,1999,2014,2007,114,5.666924658729751
square,1982,1982,1982,2,0.0
thingi,1987,1988,1987,5,0.8944271909999159
891011,1988,1988,1988,14,0.0
enuogh,1987,1988,1987,5,0.8944271909999159
where,1982,2014,2000,276,7.1272085313448885
beast,2013,2014,2013,22,0.674199862463242
youll,1982,2014,1996,212,10.156557506230076
almost,1984,2009,1986,17,5.754793398448247
