@relation allSongsAllFieldsRankClass

@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
262,116,10,3,31-40
551,174,12,3,1-10
567,186,10,3,41-50
178,79,13,3,21-30
304,111,18,3,31-40
345,136,11,3,41-50
595,161,12,3,11-20
260,99,9,3,1-10
774,293,14,3,11-20
265,140,17,4,21-30
632,143,9,3,1-10
349,97,10,3,1-10
300,84,8,4,1-10
338,119,13,3,1-10
632,143,9,3,1-10
262,106,10,3,11-20
600,35,7,3,41-50
229,81,11,4,1-10
410,168,13,4,1-10
177,103,10,3,31-40
223,74,8,3,11-20
226,111,14,3,41-50
235,76,9,3,1-10
211,91,13,3,31-40
229,99,12,3,21-30
334,94,12,3,31-40
234,97,8,3,1-10
194,81,10,3,1-10
374,116,9,3,21-30
248,91,11,3,11-20
601,279,12,4,21-30
321,104,10,3,11-20
280,100,12,4,11-20
958,264,22,3,11-20
725,254,13,3,41-50
339,73,10,3,21-30
475,69,11,3,41-50
444,93,10,3,1-10
181,77,12,4,1-10
193,78,13,3,41-50
350,105,12,3,41-50
361,115,10,3,1-10
664,180,12,3,1-10
229,101,12,4,31-40
174,68,8,3,41-50
884,277,12,3,21-30
377,63,9,3,1-10
391,85,10,4,11-20
304,122,10,4,1-10
238,105,9,4,41-50
360,120,11,3,41-50
398,126,10,3,11-20
298,67,11,3,41-50
374,49,7,2,1-10
427,118,10,3,11-20
121,49,11,3,21-30
102,44,7,3,1-10
503,242,25,3,1-10
738,226,12,3,11-20
767,201,18,3,31-40
232,91,10,3,1-10
652,238,11,3,1-10
589,298,12,3,1-10
252,97,11,3,11-20
216,67,11,3,21-30
256,95,9,3,1-10
372,89,10,3,1-10
304,69,10,3,41-50
326,105,9,4,11-20
272,101,11,3,21-30
18,18,14,5,1-10
822,269,12,4,11-20
552,212,10,3,41-50
765,287,11,3,41-50
299,78,10,3,41-50
402,118,10,3,1-10
546,167,12,3,11-20
252,81,8,3,11-20
272,107,10,4,1-10
292,107,10,4,1-10
277,123,11,4,21-30
231,90,10,3,21-30
271,83,11,3,41-50
365,113,11,3,41-50
205,54,10,4,1-10
585,194,11,3,1-10
377,126,10,4,21-30
189,103,10,3,21-30
143,36,10,4,41-50
350,199,12,4,1-10
463,170,12,3,11-20
308,116,11,3,1-10
212,83,18,3,1-10
378,150,13,3,41-50
294,95,18,4,1-10
313,82,11,4,31-40
202,100,12,4,31-40
175,78,10,4,1-10
283,147,10,3,11-20
678,131,9,3,11-20
84,49,8,3,1-10
286,106,10,3,1-10
651,132,9,4,1-10
383,178,11,3,41-50
383,178,11,3,31-40
258,113,10,3,31-40
470,140,8,3,1-10
156,78,11,3,1-10
158,62,9,4,31-40
201,104,12,3,11-20
191,61,10,3,41-50
640,179,12,3,11-20
388,112,10,3,1-10
171,59,10,3,31-40
370,116,8,3,1-10
429,107,10,4,1-10
341,90,9,3,21-30
310,52,13,5,1-10
269,131,12,4,31-40
658,331,13,4,31-40
243,108,10,3,41-50
222,132,11,4,1-10
314,63,9,4,21-30
199,116,12,3,1-10
651,161,18,3,1-10
319,62,14,3,11-20
149,94,9,3,31-40
227,96,9,4,41-50
300,75,10,4,11-20
392,90,10,3,1-10
210,81,9,3,21-30
266,122,12,4,1-10
688,226,11,3,1-10
152,90,10,3,1-10
205,75,7,3,21-30
194,71,10,3,1-10
750,265,14,3,31-40
339,117,9,3,1-10
236,108,11,4,21-30
27,11,11,4,1-10
323,134,11,3,11-20
254,96,8,3,31-40
204,91,10,3,1-10
287,82,10,3,21-30
225,77,10,3,41-50
259,91,13,3,41-50
265,112,13,4,11-20
391,187,12,3,21-30
391,187,12,3,41-50
476,200,12,3,1-10
577,214,20,4,11-20
577,214,20,4,21-30
289,89,11,3,1-10
349,102,11,3,1-10
299,102,11,3,31-40
288,83,12,4,41-50
291,68,9,4,1-10
371,110,13,3,1-10
234,136,11,4,1-10
383,132,12,4,1-10
389,125,9,3,11-20
543,119,11,3,41-50
1,1,12,12,21-30
