Song,Year,Complex Narc
Because The Night,1994,0.424242424
Because You Loved Me,1996,22.34920635
Bed,2007,5.432432432
Bed Of Roses,1993,5.357142857
BedRock,2010,3.675675676
BedRock,2010,3.675675676
Beds Are Burning,1988,-28.36363636
Bedtime Story,1995,0
Been Around The World,1998,3.4
Been Around The World,1998,3.4
Been Around The World,1998,3.4
Been There,2000,0
Beep,2006,5.5
Beer For My Horses,2003,1.894736842
Beez In The Trap,2012,1.463414634
Before He Cheats,2007,1.6
Before I Let You Go,1995,1.38317757
Before I Let You Go,1994,1.38317757
Before You Walk Out Of My Life/Like This And Like That,1995,3.777777778
Beg For It,2015,7.323943662
Begin Again,2012,1.097560976
Behind These Hazel Eyes,2005,3.673469388
Being With You,1981,7.833333333
Believe,1999,2.421875
Believe,1995,0.333333333
Believe,2015,1.333333333
Believe In Me,1984,4.64516129
Believe Me,2014,19.66433566
Belly Dancer (Bananza),2005,0.413461538
Beneath Your Beautiful,2013,4.925373134
Bent,2000,16.21052632
Berzerk,2013,-5.064935065
Best Day Of My Life,2014,1.590909091
Best Days Of Your Life,2009,3.5
Best Friend,2006,2.109589041
Best Friend,1995,12.86407767
Best I Ever Had,2009,5.051546392
Best Love Song,2011,2.448979592
Best Mistake,2014,-18.28813559
Best Of Intentions,2000,4.052631579
Best Of Me,2000,13.79310345
Best Of You,2005,1.428571429
Best Song Ever,2013,-15.84375
Best Thing I Never Had,2011,3.571428571
Bet On It,2007,6.909090909
Betcha Say That,1987,1.875
Betcha She Don't Love You,1983,0.474576271
Bette Davis Eyes,1981,0
Better As A Memory,2008,0.333333333
Better Be Good To Me,1984,14.375
Better Be Home Soon,1988,1.24137931
Better Days,2005,-1.4
Better Days (And The Bottom Drops Out),1999,1.565217391
Better Dig Two,2013,1.882352941
Better In Time,2008,0
Better Life,2005,0.512820513
Better Love Next Time,1980,0.481481481
Better Off Alone,2000,1
Better Than Me,2007,5.525
Better Than You,1993,2.93877551
Better With The Lights Off,2011,4.105263158
Between Me And You,2000,-6.073825503
Beverly Hills,2005,1.5
Beware,2013,5.319587629
Beware Of The Boys (Mundian To Bach Ke),2003,0.272727273
Beyond,1980,NaN
Big Chips,2004,-4.833333333
Big Daddy,1997,2.584269663
Big Deal,2000,0.75
Big Fun,1982,-1.971428571
Big Girls Don't Cry,2007,5.769230769
Big Green Tractor,2009,5.936507937
Big Log,1983,3
Big Love,1987,1.090909091
Big Pimpin',2000,-3.404958678
Big Poppa/Warning,1995,4.387096774
Big Poppa/Warning,1995,4.387096774
Big Star,2003,0
Big Things Poppin' (Do It),2007,5.583941606
Big Time,1987,10.36363636
Big Yellow Taxi,2003,-1.5
Bigger Than My Body,2003,14.72727273
Biggest Part Of Me,1980,12.36507937
Billie Jean,2008,-1.5
Billie Jean,1983,-1.5
Billionaire,2010,2.280701754
Billionaire,2010,2.16
Bills Bills Bills,1999,15.75
Bills Bills Bills,2011,14.94565217
Birmingham,1996,0
Birthday,2014,0.977777778
Birthday Cake,2012,2.6
Birthday Sex,2009,2
Birthday Song,2012,4.660194175
Birthday Suit,1989,0.689655172
Bitch,1997,2.28
Bitch Don't Kill My Vibe,2013,28.62
Bitter Sweet Symphony,1998,5.515151515
Bitter Tears,1991,1.263157895
Bittersweet Me,1996,2.867924528
Bizarre Love Triangle,1994,1.7
Bizounce,2001,7.37704918
Black And Blue,1988,0
Black And Yellow,2011,9.2
Black Balloon,1999,0.540540541
Black Cars,1985,0
Black Cat,1990,2.171428571
Black Horse & The Cherry Tree,2006,3.611111111
Black Ice (Sky High),1998,0.763636364
Black Or White,1991,-1.5
Black Velvet,1990,0.428571429
Black Widow,2014,1.144736842
Blackbird,2011,0
Blackout,2012,2.219512195
Blackout,2012,2.88
Blah Blah Blah,2010,5.358974359
Blame,2014,1.5
Blame It,2009,3.513888889
Blame It On Love,1983,-20.25581395
Blame It On The Rain,1989,0
Blank Space,2014,3.878787879
Blaze Of Glory,1990,6.857142857
Bleeding Love,2008,5.675675676
Bless The Broken Road,2005,9.418604651
Blessed,1995,0.45
Blessed,1995,2.139534884
Blessed,2002,4.186440678
Blessed Are The Believers,1981,2.0625
Blessings,2015,5.028169014
Blind Man,1994,-1.5
Bling Bling,1999,5.967741935
Blood On The Dance Floor,1997,1.391304348
Blow,2011,1.36
Blow Me (One Last Kiss),2012,1.95
Blowin' Me Up (With Her Love),2003,9.254237288
Blowing Kisses In The Wind,1991,4.5
Blown Away,2012,0
Blue,1996,0.4
Blue (Da Ba Dee),2000,0.64
Blue Eyes,1982,0.111111111
Blue Jean,1984,3
Blue Orchid,2005,-1.5
Blue Sky Mine,1990,1.875
Blunt Blowin,2011,6.532258065
Blurred Lines,2013,3.363636364
Blurry,2002,11.78571429
Bo$$,2014,3.12
Bobbie Sue,1982,1.647058824
Body,1984,2.260869565
Body & Soul,1994,5.230769231
Body Bumpin Yippie-Yi-Yo,1998,3.192982456
Body Bumpin' Yippie-Yi-Yo,1998,3.192982456
Body Language,2009,5.489583333
Body Language,1982,-1.5
Body On Me,2008,12.21804511
Body Party,2013,6.151515152
Body Rock,1984,2.105263158
Bohemian Rhapsody,1992,-1.5
Bohemian Rhapsody,1996,3.769230769
Boom Boom (Let's Go Back To My Room),1987,10.78947368
Boom Boom Pow,2009,0.888888889
Boom Clap,2014,8.866666667
Boom! Shake The Room,1993,2.888888889
Boombastic/In The Summertime,1995,2.059701493
Boondocks,2006,1.805970149
Boot Scootin' Boogie,1992,2.578947368
Booti Call,1994,1.016949153
Booty,2014,1.915492958
Booty Wurk (One Cheek At A Time),2011,4.273972603
Bootylicious,2001,12.02290076
Bop,1986,-1.592105263
Bop 'Til You Drop,1984,0
Bop Gun (One Nation),1994,2.329113924
Bop Gun (One Nation),1994,2.329113924
Borderline,1984,23.94736842
Born In East L.A.,1985,0.4
Born In The USA,1985,0.782608696
Born This Way,2011,3.089552239
Born This Way,2011,0.5
Born To Be My Baby,1989,-3.153846154
Born To Fly,2000,4.266666667
Born To Roll,1994,11.87096774
Bossy,2006,4.166666667
Boston,2007,6.72
Both Of Us,2012,-30.18867925
Both Sides Of The Story,1993,-12.48780488
Bottoms Up,2014,0.642857143
Bottoms Up,2010,0.818181818
Boulevard,1980,0
Boulevard Of Broken Dreams,2005,2.380952381
Bounce With Me,2000,4.595744681
Bouncin' Back (Bumpin' Me Against the Wall),2002,14.01197605
Bound 2,2013,-4.659574468
Bow Chicka Wow Wow,2011,3.027027027
Bow Down,1996,4.666666667
Bow Wow (That's My Name),2001,13.24324324
Boy From New York City,1981,-4.5
Boy In The Box,1985,0.333333333
Boy I've Been Told,1988,1.14
Boyfriend,2005,5.12
Boyfriend,2012,6.635294118
Boyfriend #2,2009,3.181818182
Boys 'Round Here,2013,1.185185185
Boys 'Round Here,2013,1.185185185
Boys Do Fall In Love,1984,-5.411764706
Boys Night Out,1987,0.578947368
