prediction,actual,diff,predSCore,actScore
1986,1986,0,13.28771238,13.28771238
1986,1986,0,13.28771238,13.28771238
1982,1982,0,13.28771238,13.28771238
2005,2005,0,13.28771238,13.28771238
1998,1998,0,13.28771238,13.28771238
1983,1983,0,13.28771238,13.28771238
1991,1991,0,13.28771238,13.28771238
1987,1987,0,13.28771238,13.28771238
1985,1985,0,13.28771238,13.28771238
2012,2012,0,13.28771238,13.28771238
2007,2007,0,13.28771238,13.28771238
1983,1983,0,13.28771238,13.28771238
2003,2003,0,13.28771238,13.28771238
2006,2006,0,13.28771238,13.28771238
1985,1985,0,13.28771238,13.28771238
1986,1986,0,13.28771238,13.28771238
1990,1990,0,13.28771238,13.28771238
2012,2012,0,13.28771238,13.28771238
1991,1991,0,13.28771238,13.28771238
1984,1984,0,13.28771238,13.28771238
2015,2015,0,13.28771238,13.28771238
1982,1982,0,13.28771238,13.28771238
2015,2015,0,13.28771238,13.28771238
1991,1991,0,13.28771238,13.28771238
1988,1988,0,13.28771238,13.28771238
2002,2002,0,13.37829486,13.37829486
2000,2000,0,13.37829486,13.37829486
2004,2004,0,13.45584091,13.45584091
2001,2001,0,13.57068587,13.57068587
2012,2012,0,13.57068587,13.57068587
2004,2004,0,13.57068587,13.57068587
2009,2009,0,13.57068587,13.57068587
2010,2010,0,13.57068587,13.57068587
2014,2014,0,13.57068587,13.57068587
1997,1997,0,13.57068587,13.57068587
1999,1999,0,13.7548875,13.7548875
1983,1983,0,13.7548875,13.7548875
2004,2004,0,13.7548875,13.7548875
1996,1996,0,13.7548875,13.7548875
1996,1996,0,13.7548875,13.7548875
2010,2010,0,13.7548875,13.7548875
2012,2012,0,13.7548875,13.7548875
2008,2008,0,13.81378119,13.81378119
1987,1987,0,13.83772647,13.83772647
1989,1989,0,13.83772647,13.83772647
1988,1988,0,13.83772647,13.83772647
2007,2007,0,13.83772647,13.83772647
1982,1982,0,13.83772647,13.83772647
1981,1981,0,13.83772647,13.83772647
1987,1987,0,13.83772647,13.83772647
2005,2005,0,13.83772647,13.83772647
1989,1989,0,13.83772647,13.83772647
2004,2004,0,13.83772647,13.83772647
1987,1987,0,13.83772647,13.83772647
1989,1989,0,13.83772647,13.83772647
1987,1987,0,13.83772647,13.83772647
1990,1990,0,13.83772647,13.83772647
2014,2014,0,13.83772647,13.83772647
1984,1984,0,13.83772647,13.83772647
1987,1987,0,13.83772647,13.83772647
1983,1983,0,13.83772647,13.83772647
1992,1992,0,13.83772647,13.83772647
1997,1997,0,13.83772647,13.83772647
2000,2000,0,13.83772647,13.83772647
2006,2006,0,13.83772647,13.83772647
1988,1988,0,13.83772647,13.83772647
1982,1982,0,13.83772647,13.83772647
1980,1980,0,13.83772647,13.83772647
2002,2002,0,13.83772647,13.83772647
1991,1991,0,13.83772647,13.83772647
2013,2013,0,13.83772647,13.83772647
1994,1994,0,13.83772647,13.83772647
1981,1981,0,13.83772647,13.83772647
2002,2002,0,13.83772647,13.83772647
1988,1988,0,13.83772647,13.83772647
2007,2007,0,13.83772647,13.83772647
1981,1981,0,13.83772647,13.83772647
2001,2001,0,13.83772647,13.83772647
2013,2013,0,13.83772647,13.83772647
2010,2010,0,13.83772647,13.83772647
1989,1989,0,13.83772647,13.83772647
1986,1986,0,13.83772647,13.83772647
1997,1997,0,13.83772647,13.83772647
1997,1997,0,13.83772647,13.83772647
1987,1987,0,13.83772647,13.83772647
1987,1987,0,13.83772647,13.83772647
1981,1981,0,13.83772647,13.83772647
1997,1997,0,13.83772647,13.83772647
1994,1994,0,13.83772647,13.83772647
1980,1980,0,13.83772647,13.83772647
1987,1987,0,13.93156857,13.93156857
1997,1997,0,13.93156857,13.93156857
2012,2012,0,13.93156857,13.93156857
1995,1995,0,13.93156857,13.93156857
2010,2010,0,13.93156857,13.93156857
1988,1988,0,13.93156857,13.93156857
1988,1988,0,13.93156857,13.93156857
1998,1998,0,14.04473563,14.04473563
2009,2009,0,14.10131915,14.10131915
1980,1980,0,14.10131915,14.10131915
2009,2009,0,14.26466251,14.26466251
1992,1992,0,14.26466251,14.26466251
2009,2009,0,14.26466251,14.26466251
1992,1992,0,14.26466251,14.26466251
1992,1992,0,14.26466251,14.26466251
1996,1996,0,14.26466251,14.26466251
1981,1981,0,14.26466251,14.26466251
1990,1990,0,14.33985,14.33985
2004,2004,0,14.33985,14.33985
1988,1988,0,14.33985,14.33985
2010,2010,0,14.33985,14.33985
1993,1993,0,14.33985,14.33985
2001,2001,0,14.33985,14.33985
2008,2008,0,14.33985,14.33985
1987,1987,0,14.33985,14.33985
1988,1988,0,14.33985,14.33985
1980,1980,0,14.33985,14.33985
1981,1981,0,14.33985,14.33985
1984,1984,0,14.33985,14.33985
1981,1981,0,14.33985,14.33985
1986,1986,0,14.33985,14.33985
1981,1981,0,14.33985,14.33985
1982,1982,0,14.33985,14.33985
1994,1994,0,14.33985,14.33985
1984,1984,0,14.33985,14.33985
1984,1984,0,14.33985,14.33985
1991,1991,0,14.33985,14.33985
1989,1989,0,14.33985,14.33985
1984,1984,0,14.33985,14.33985
1992,1992,0,14.33985,14.33985
1999,1999,0,14.33985,14.33985
1985,1985,0,14.33985,14.33985
2003,2003,0,14.33985,14.33985
2010,2010,0,14.33985,14.33985
2010,2010,0,14.33985,14.33985
1981,1981,0,14.33985,14.33985
2010,2010,0,14.33985,14.33985
1984,1984,0,14.33985,14.33985
1987,1987,0,14.33985,14.33985
1994,1994,0,14.33985,14.33985
1991,1991,0,14.33985,14.33985
1991,1991,0,14.33985,14.33985
1984,1984,0,14.33985,14.33985
2011,2011,0,14.33985,14.33985
1981,1981,0,14.33985,14.33985
2014,2014,0,14.42206477,14.42206477
2014,2014,0,14.42206477,14.42206477
