@relation allSongsAllFields

@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK real

@data
339,168,11,3,38
727,190,12,3,11
231,106,10,4,10
528,244,10,3,38
464,192,16,4,33
1,1,0,0,50
765,267,12,4,39
517,232,11,4,18
272,106,16,3,23
354,40,18,3,21
353,122,13,3,1
364,119,9,3,18
176,88,11,4,20
88,39,7,3,5
807,286,13,3,18
541,272,12,4,28
541,272,12,4,6
285,135,12,4,28
717,259,11,3,9
315,117,12,3,8
18,18,14,5,42
245,85,10,4,33
412,137,10,3,3
18,18,14,5,47
18,18,14,5,1
469,191,11,4,28
418,184,11,4,4
500,147,12,4,1
438,153,16,4,44
267,125,13,4,43
230,99,11,3,17
168,73,19,3,24
464,154,10,3,4
543,212,12,3,47
181,95,12,3,36
305,124,10,3,2
796,233,13,3,32
436,95,9,3,12
224,78,9,4,46
266,99,11,4,46
222,97,9,3,49
415,203,13,4,15
191,63,11,4,34
660,179,14,4,1
218,107,10,4,16
133,81,10,4,42
329,118,10,4,1
369,105,9,3,20
621,329,12,4,50
18,18,14,5,1
247,99,11,4,1
385,179,10,3,3
128,38,9,4,37
347,73,10,3,32
149,68,9,3,41
333,119,16,4,7
152,58,11,3,19
681,201,11,3,2
224,83,11,3,48
441,94,10,3,1
502,180,11,3,1
366,150,11,3,1
373,113,10,4,1
230,100,10,3,29
116,60,7,3,48
200,59,8,4,34
311,97,9,3,31
151,69,10,4,34
918,330,13,3,28
18,18,14,5,48
795,301,13,4,36
428,98,10,3,42
224,91,12,3,7
278,140,9,3,5
617,135,11,3,35
357,72,9,4,6
182,87,11,4,20
93,42,9,3,26
230,75,10,3,6
127,50,8,3,12
127,78,11,4,8
18,18,14,5,43
331,143,9,4,47
506,268,13,4,33
428,193,11,3,1
394,99,11,3,5
187,115,18,3,43
188,106,27,4,12
342,102,10,4,47
313,113,10,3,36
679,120,41,4,6
679,120,41,4,5
480,119,13,4,35
18,18,14,5,11
589,171,12,3,42
265,109,8,3,22
335,117,18,4,48
18,18,14,5,2
237,101,10,4,42
262,67,8,3,43
440,166,27,4,1
187,89,15,3,8
521,210,26,3,13
648,182,10,4,3
453,115,11,3,46
273,120,9,4,50
384,142,11,3,34
419,146,11,3,18
452,161,13,3,44
561,138,12,4,1
410,112,10,3,42
423,86,9,4,20
1365,342,19,4,25
1365,342,19,4,23
338,92,11,4,10
368,177,11,3,48
247,113,12,3,9
549,144,13,4,44
21,19,9,3,1
328,118,9,3,3
266,106,10,3,34
624,300,15,3,23
768,196,11,3,16
255,105,10,3,34
414,198,12,3,18
342,175,12,4,25
232,124,9,3,20
731,190,10,3,6
199,111,9,4,19
260,79,12,4,2
631,224,10,3,20
747,237,11,4,37
407,184,30,4,12
367,106,15,3,30
635,282,13,4,21
673,215,12,3,21
364,116,9,3,7
193,81,9,3,26
237,113,12,3,48
378,122,9,4,19
362,121,11,3,2
483,134,9,3,42
406,157,11,3,15
406,157,11,3,12
253,83,11,3,37
219,132,11,3,25
705,296,13,3,50
367,150,15,4,40
284,94,15,4,15
220,71,11,4,14
404,178,10,3,48
232,113,12,3,23
146,92,8,3,4
355,129,11,4,25
723,206,15,3,9
157,60,9,3,11
360,118,10,3,26
169,91,9,3,5
383,105,11,3,43
691,177,10,3,14
509,172,10,3,42
376,120,9,3,44
887,208,13,3,26
294,62,11,4,1
314,122,10,3,6
153,80,12,5,8
232,85,10,3,15
395,108,10,3,12
306,78,11,4,5
177,66,10,4,43
190,87,9,4,6
379,76,12,4,9
239,88,9,3,32
183,60,8,4,22
272,89,9,4,4
262,94,9,3,20
244,86,9,3,18
261,72,12,4,6
888,261,13,4,10
257,94,8,3,2
248,96,10,4,36
354,168,11,4,45
431,81,11,3,3
697,252,11,3,28
262,83,10,3,34
248,82,14,3,40
290,99,9,4,23
274,124,11,3,47
273,138,10,3,5
722,220,11,3,9
260,90,9,4,49
306,99,8,3,5
313,104,10,3,5
185,76,10,4,36
576,284,13,4,45
338,113,9,4,24
176,60,11,3,20
254,93,9,3,20
239,76,10,3,1
250,80,13,4,9
317,153,13,3,16
246,95,17,4,27
273,114,13,4,27
363,163,12,3,27
221,103,19,3,6
254,98,11,3,5
119,77,10,3,32
569,155,13,3,36
204,91,18,4,43
511,194,11,4,3
738,220,11,3,33
657,254,12,3,33
257,109,11,4,13
242,89,11,3,22
241,92,13,4,8
281,79,10,4,1
664,190,12,3,1
295,88,11,3,16
295,88,11,3,13
264,84,9,3,42
591,163,12,3,1
212,83,10,3,30
214,67,11,4,40
306,105,9,3,12
272,104,11,4,5
214,138,14,4,9
237,96,12,4,2
212,53,8,3,39
270,98,12,3,50
513,262,13,4,7
432,158,9,3,7
410,136,18,3,31
300,126,17,3,46
256,103,10,3,37
316,110,10,3,41
541,164,12,4,16
317,87,11,3,14
399,203,11,3,1
362,157,11,4,22
362,157,11,4,29
477,167,12,3,3
313,106,10,3,41
262,116,10,3,40
551,174,12,3,1
567,186,10,3,46
178,79,13,3,25
304,111,18,3,34
345,136,11,3,43
595,161,12,3,19
260,99,9,3,4
774,293,14,3,12
265,140,17,4,27
632,143,9,3,3
349,97,10,3,9
300,84,8,4,2
338,119,13,3,10
632,143,9,3,5
262,106,10,3,18
600,35,7,3,46
229,81,11,4,3
410,168,13,4,1
177,103,10,3,37
223,74,8,3,18
226,111,14,3,44
235,76,9,3,1
211,91,13,3,35
229,99,12,3,26
334,94,12,3,31
234,97,8,3,1
194,81,10,3,10
374,116,9,3,25
248,91,11,3,15
601,279,12,4,21
321,104,10,3,19
280,100,12,4,18
958,264,22,3,19
725,254,13,3,49
339,73,10,3,27
475,69,11,3,43
444,93,10,3,9
181,77,12,4,4
193,78,13,3,44
350,105,12,3,43
361,115,10,3,8
664,180,12,3,7
229,101,12,4,36
174,68,8,3,42
884,277,12,3,25
377,63,9,3,1
391,85,10,4,11
304,122,10,4,1
238,105,9,4,43
360,120,11,3,49
398,126,10,3,20
298,67,11,3,42
374,49,7,2,7
427,118,10,3,14
121,49,11,3,24
102,44,7,3,1
503,242,25,3,1
738,226,12,3,12
767,201,18,3,40
232,91,10,3,2
652,238,11,3,4
589,298,12,3,1
252,97,11,3,15
216,67,11,3,29
256,95,9,3,6
372,89,10,3,6
304,69,10,3,50
326,105,9,4,12
272,101,11,3,30
18,18,14,5,2
822,269,12,4,14
552,212,10,3,41
765,287,11,3,50
299,78,10,3,41
402,118,10,3,6
546,167,12,3,13
252,81,8,3,20
272,107,10,4,6
292,107,10,4,1
277,123,11,4,21
231,90,10,3,28
271,83,11,3,41
365,113,11,3,46
205,54,10,4,2
585,194,11,3,1
377,126,10,4,25
189,103,10,3,28
143,36,10,4,44
350,199,12,4,9
463,170,12,3,18
308,116,11,3,1
212,83,18,3,1
378,150,13,3,45
294,95,18,4,10
313,82,11,4,36
202,100,12,4,34
175,78,10,4,3
283,147,10,3,20
678,131,9,3,11
84,49,8,3,9
286,106,10,3,5
651,132,9,4,2
383,178,11,3,41
383,178,11,3,36
258,113,10,3,36
470,140,8,3,6
156,78,11,3,8
158,62,9,4,40
201,104,12,3,19
191,61,10,3,50
640,179,12,3,14
388,112,10,3,8
171,59,10,3,37
370,116,8,3,10
429,107,10,4,2
341,90,9,3,26
310,52,13,5,1
269,131,12,4,31
658,331,13,4,39
243,108,10,3,44
222,132,11,4,1
314,63,9,4,24
199,116,12,3,10
651,161,18,3,7
319,62,14,3,13
149,94,9,3,38
227,96,9,4,44
300,75,10,4,12
392,90,10,3,8
210,81,9,3,27
266,122,12,4,10
688,226,11,3,10
152,90,10,3,3
205,75,7,3,21
194,71,10,3,5
750,265,14,3,32
339,117,9,3,10
236,108,11,4,30
27,11,11,4,1
323,134,11,3,19
254,96,8,3,39
204,91,10,3,5
287,82,10,3,21
225,77,10,3,50
259,91,13,3,46
265,112,13,4,14
391,187,12,3,24
391,187,12,3,50
476,200,12,3,1
577,214,20,4,20
577,214,20,4,23
289,89,11,3,1
349,102,11,3,7
299,102,11,3,38
288,83,12,4,50
291,68,9,4,2
371,110,13,3,2
234,136,11,4,8
383,132,12,4,10
389,125,9,3,20
543,119,11,3,45
1,1,12,12,21
240,106,10,3,13
353,120,8,3,28
209,95,11,3,10
255,114,14,3,34
335,105,11,4,29
304,109,11,3,29
136,67,13,3,34
468,115,11,3,23
597,198,16,4,27
217,102,11,4,25
218,73,9,3,10
227,70,10,3,36
221,67,10,3,48
225,78,8,4,7
254,90,10,3,18
257,90,10,4,38
413,98,14,3,3
1031,315,13,4,44
189,99,13,3,8
300,138,13,3,14
537,154,11,3,22
734,299,14,4,4
359,146,12,4,40
394,108,13,4,26
166,93,10,3,17
812,332,13,4,12
500,244,10,4,37
163,73,13,3,29
236,65,10,3,40
200,101,10,3,8
209,91,10,3,46
514,154,10,3,1
365,71,8,3,7
191,80,10,3,41
120,34,9,4,16
233,79,10,4,43
639,257,11,4,46
266,90,10,3,26
314,88,10,3,28
575,173,11,4,9
629,205,9,3,39
370,86,13,4,5
308,85,9,3,20
416,100,9,4,21
340,92,10,4,40
361,95,10,4,1
254,85,8,4,33
655,231,11,3,11
319,145,12,4,29
164,74,10,4,20
314,121,14,3,15
320,125,10,3,4
208,84,10,3,6
459,114,9,3,11
205,98,10,3,31
182,83,10,3,50
737,214,19,3,12
344,64,9,3,19
140,39,8,3,32
192,76,10,3,15
652,126,10,3,18
163,52,11,4,32
230,71,9,4,22
292,83,9,3,37
218,79,10,3,2
232,67,9,4,35
318,145,12,4,6
285,120,12,3,23
343,104,11,3,5
226,40,7,3,18
231,85,9,3,30
351,107,10,3,33
269,136,12,3,44
315,131,18,4,1
440,103,10,3,1
179,43,10,3,21
412,93,9,3,32
260,89,11,4,23
470,119,11,3,33
804,226,12,3,9
216,83,9,3,25
256,85,9,3,32
267,98,10,3,7
18,18,14,5,4
306,94,11,3,43
231,89,9,3,31
339,80,8,3,30
303,96,10,3,10
203,102,12,3,11
289,67,11,4,18
148,80,9,4,42
264,76,9,3,20
495,221,12,3,11
286,97,9,3,1
197,69,13,3,1
223,71,13,5,34
259,85,10,4,46
226,71,11,4,32
485,112,12,4,2
236,107,9,4,47
599,153,13,3,1
327,87,11,4,31
599,171,12,3,41
324,80,9,4,10
373,74,12,3,20
373,74,12,3,22
343,116,11,3,42
188,113,12,3,38
108,42,10,5,38
295,87,12,4,16
616,226,13,3,19
403,131,18,3,5
549,204,10,3,4
192,99,11,4,13
190,85,12,3,10
347,82,13,3,11
578,136,11,3,4
307,78,11,3,13
211,79,10,3,13
264,73,10,3,11
298,84,9,3,49
580,133,12,3,6
489,148,11,3,41
580,136,11,3,23
389,66,10,4,25
167,59,9,3,33
554,184,14,3,26
220,49,12,3,47
239,106,10,3,11
145,88,10,4,1
282,86,9,3,43
296,88,10,3,8
218,73,9,3,15
514,97,11,4,2
360,115,18,3,49
306,138,11,3,22
308,121,11,4,50
263,124,13,3,11
212,125,11,3,25
289,78,12,3,2
159,76,9,3,7
250,107,9,3,31
416,195,10,4,3
340,123,12,4,11
247,77,9,3,27
152,64,10,4,40
210,84,8,4,38
235,117,9,4,44
869,322,14,4,1
367,98,10,3,2
239,93,14,3,1
498,103,10,3,49
499,93,9,3,24
163,92,9,3,36
232,123,10,3,18
213,95,11,3,41
214,92,10,3,17
18,18,14,5,17
200,101,11,3,2
297,80,10,3,14
356,97,11,4,11
353,121,11,4,7
412,134,11,3,29
242,96,9,3,42
325,168,12,3,11
279,78,10,3,15
250,95,9,3,1
224,72,9,4,30
535,207,11,3,1
335,100,11,3,15
303,148,12,3,40
18,18,14,5,1
234,88,10,3,45
232,79,10,4,1
165,63,9,3,34
423,120,10,3,1
326,122,11,3,21
82,36,10,4,7
757,237,12,3,27
450,106,10,3,7
497,267,12,4,42
309,75,10,4,10
199,67,10,3,9
346,135,8,3,45
308,138,8,3,16
308,138,8,3,4
263,86,9,4,4
295,78,10,3,29
370,130,11,4,9
352,107,11,4,2
312,96,11,3,3
306,94,12,3,3
247,104,10,3,33
172,42,8,3,16
177,80,12,4,10
321,111,10,3,32
286,88,9,3,7
341,107,10,3,15
124,54,9,3,44
507,109,9,3,3
406,135,12,4,48
123,58,9,3,50
526,186,11,3,28
18,18,14,5,12
226,80,12,4,22
142,75,10,3,5
493,114,11,3,33
291,96,9,3,25
460,170,13,4,32
264,98,11,3,13
321,71,16,3,5
230,99,11,4,39
352,95,13,3,13
673,205,10,3,4
381,112,9,3,4
141,57,11,3,6
455,191,12,3,49
255,101,9,3,44
18,18,14,5,15
214,86,12,4,50
537,146,11,4,7
449,199,17,4,24
418,134,9,4,4
676,166,10,3,45
214,109,10,3,43
214,109,10,3,46
856,235,13,3,15
292,124,9,4,35
180,68,9,3,23
537,114,14,4,10
504,173,12,3,5
887,281,13,3,4
210,84,10,3,27
322,158,12,3,10
443,175,12,3,17
259,64,9,3,16
315,91,9,3,45
173,92,12,3,30
188,40,7,3,41
522,120,10,4,36
674,74,11,3,39
334,89,11,3,8
258,119,9,3,38
310,113,13,4,9
565,105,18,3,19
155,92,9,3,46
310,129,9,4,2
261,94,9,3,17
238,101,13,4,7
200,80,24,5,38
355,125,12,4,2
386,215,12,4,46
